personId,teamName,minutes,threePointersMade,threePointersAttempted,twoPointersMade,twoPointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,assists,steals,blocks,turnovers,foulsPersonal,IS_WINNER
1642851,Hornets,35:03,1,4,4,7,2,3,1,5,4,1,0,2,1,True
1628970,Hornets,31:28,1,6,4,6,3,3,2,4,2,2,0,1,4,True
1631217,Hornets,33:18,0,0,6,9,0,0,4,6,6,0,2,0,3,True
1641706,Hornets,34:51,3,9,4,12,9,9,3,5,2,1,1,2,1,True
1630163,Hornets,31:53,2,6,3,9,4,5,0,8,8,0,0,3,3,True
1641750,Hornets,14:16,0,0,3,4,0,0,2,2,0,0,2,0,0,True
1630182,Hornets,11:23,0,1,0,0,0,0,1,0,2,0,0,0,1,True
1629684,Hornets,17:58,1,4,0,1,0,0,0,4,2,0,0,0,3,True
1642883,Hornets,12:13,0,0,0,2,0,0,1,3,1,0,0,2,1,True
1629012,Hornets,17:38,5,5,2,3,2,2,0,0,3,1,0,1,2,True
1626192,Hornets,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1630544,Hornets,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1642275,Hornets,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1630170,Spurs,30:23,2,7,3,3,1,2,0,5,2,1,1,0,0,False
1630577,Spurs,28:52,4,6,0,1,1,1,0,5,1,0,2,0,1,False
1641705,Spurs,30:36,0,3,6,12,4,4,3,5,1,1,0,2,2,False
1642264,Spurs,35:02,1,2,4,9,5,6,2,3,9,0,1,3,4,False
1628368,Spurs,32:04,1,5,4,8,0,0,0,2,7,2,0,1,3,False
1628436,Spurs,19:07,0,0,0,0,0,0,0,5,1,1,1,1,2,False
1642844,Spurs,23:14,2,3,7,10,0,0,0,1,2,1,1,2,2,False
1629640,Spurs,15:54,0,3,1,2,4,4,1,1,1,1,0,0,0,False
203084,Spurs,24:48,3,5,0,1,2,2,0,3,2,0,0,1,2,False
202687,Spurs,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1642868,Spurs,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
