personId,teamName,minutes,threePointersMade,threePointersAttempted,twoPointersMade,twoPointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,assists,steals,blocks,turnovers,foulsPersonal,IS_WINNER
1630551,Wizards,23:42,1,3,3,4,0,0,2,2,0,0,0,0,2,False
1642273,Wizards,27:04,2,7,3,5,3,4,0,3,6,1,2,4,4,False
1642259,Wizards,28:18,0,3,8,11,0,0,3,3,5,2,0,1,2,False
1641731,Wizards,24:10,0,5,3,6,1,2,1,1,2,0,0,0,0,False
1642267,Wizards,25:29,4,8,1,3,1,1,1,2,6,2,0,5,2,False
1642364,Wizards,34:48,2,8,1,3,0,0,3,3,2,1,1,2,3,False
1642860,Wizards,24:56,3,7,2,8,0,0,2,0,5,4,0,2,1,False
1630264,Wizards,17:04,0,0,4,5,1,1,5,5,0,0,1,1,1,False
1630536,Wizards,12:46,0,1,1,3,0,0,0,2,2,0,0,1,2,False
1631103,Wizards,21:43,4,6,2,3,1,2,0,1,0,0,0,2,2,False
1642358,Wizards,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1627746,Wizards,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1631222,Lakers,25:09,0,2,1,1,1,2,1,5,1,3,1,0,2,True
2544,Lakers,29:36,2,3,6,13,2,2,0,3,6,2,0,3,1,True
1629028,Lakers,28:57,0,0,12,14,4,4,5,8,3,1,3,1,0,True
1629029,Lakers,30:32,6,13,7,8,5,7,0,11,13,3,0,5,0,True
203935,Lakers,26:31,1,2,0,0,0,0,0,1,4,1,0,4,1,True
1629637,Lakers,13:34,0,0,4,5,2,2,1,2,1,1,0,0,0,True
1629216,Lakers,18:15,2,5,0,0,0,0,0,0,2,1,0,0,0,True
1629060,Lakers,17:40,2,3,1,2,3,6,0,2,2,0,0,1,1,True
1629020,Lakers,16:14,1,2,2,3,1,2,2,0,1,4,0,0,1,True
1631166,Lakers,17:05,0,1,1,1,2,2,0,1,3,0,0,1,2,True
1642355,Lakers,5:29,0,1,1,2,2,3,0,0,1,0,0,0,0,True
1628467,Lakers,5:29,0,0,2,2,0,0,2,1,1,0,0,0,0,True
1642261,Lakers,5:29,0,1,1,1,2,2,0,1,0,1,0,1,0,True
1630217,Magic,36:24,7,10,4,5,3,3,0,1,2,0,0,2,4,True
1631094,Magic,40:36,1,1,4,10,9,11,0,9,6,2,1,3,2,True
1628976,Magic,34:52,2,4,7,10,3,3,3,4,3,1,0,0,4,True
1641710,Magic,39:54,1,5,4,6,14,14,0,4,6,0,1,0,3,True
1630591,Magic,33:14,3,8,2,6,1,1,0,6,10,3,0,1,4,True
1626145,Magic,10:20,1,1,0,1,0,0,0,0,1,0,0,2,0,True
1641783,Magic,22:12,2,4,1,2,0,0,0,1,0,0,1,0,3,True
1628371,Magic,13:08,0,0,1,2,2,3,0,4,0,0,0,3,2,True
1642869,Magic,6:30,0,1,0,1,0,0,0,3,0,1,0,1,0,True
1629021,Magic,2:50,0,0,0,1,1,2,0,0,0,0,0,0,1,True
1629048,Magic,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1641724,Magic,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1642859,Magic,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1627742,Raptors,35:22,4,8,9,15,5,7,0,3,2,1,1,0,3,False
1630567,Raptors,35:34,0,3,7,9,5,7,0,8,6,0,4,2,4,False
1642867,Raptors,33:19,0,0,5,7,2,2,2,4,4,3,1,5,1,False
1629628,Raptors,31:03,0,5,6,9,4,5,2,1,5,1,0,2,2,False
1630193,Raptors,33:01,2,6,3,7,1,3,1,6,6,1,0,1,5,False
1630572,Raptors,23:58,0,3,1,1,6,6,2,2,4,2,0,0,5,False
1642347,Raptors,21:19,0,1,2,3,0,0,0,1,4,0,0,0,1,False
1642266,Raptors,15:51,1,1,4,5,2,2,0,3,1,0,0,1,1,False
1641711,Raptors,7:24,0,1,0,0,0,0,0,2,1,0,0,1,2,False
1630534,Raptors,3:09,0,0,0,0,0,0,0,1,0,0,0,1,0,False
1642419,Raptors,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1630639,Raptors,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1642918,Raptors,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1642367,Raptors,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
202066,Raptors,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1631248,Celtics,30:47,4,7,2,3,0,0,1,4,1,1,0,0,2,True
1630573,Celtics,29:31,2,8,1,1,2,2,0,3,1,0,0,1,2,True
1629674,Celtics,28:48,0,0,4,11,2,4,4,11,2,3,1,3,3,True
1630202,Celtics,32:36,5,6,7,10,0,0,0,2,8,0,0,2,1,True
1628401,Celtics,32:32,1,3,2,4,0,0,0,2,9,1,2,0,0,True
1630568,Celtics,15:41,1,1,3,4,2,3,6,2,1,1,1,0,2,True
1629014,Celtics,26:22,2,10,4,6,2,2,0,2,1,0,0,0,2,True
1642864,Celtics,22:09,0,4,1,4,0,1,2,2,1,0,0,1,1,True
1641775,Celtics,15:48,1,5,0,2,2,4,1,2,0,1,1,0,2,True
1628449,Celtics,3:31,1,3,0,0,0,0,0,0,0,0,0,0,1,True
1631169,Celtics,2:15,1,1,0,0,0,0,0,0,1,0,0,0,1,True
1627759,Celtics,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1630214,Celtics,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
201942,Kings,18:01,0,2,2,8,2,3,0,1,2,0,0,0,2,False
1630173,Kings,13:10,0,0,1,5,0,0,2,1,0,0,0,0,1,False
1642875,Kings,36:04,1,1,5,6,1,1,3,11,1,0,1,2,2,False
203897,Kings,23:27,1,4,4,5,6,7,1,3,1,0,0,1,1,False
203471,Kings,23:34,0,4,1,7,2,2,2,2,3,1,1,2,1,False
1642363,Kings,33:58,3,7,2,5,2,2,1,2,1,0,0,1,2,False
1628370,Kings,22:59,2,6,1,8,4,4,0,3,4,0,0,2,1,False
1642928,Kings,27:34,0,0,3,4,2,2,4,4,1,1,2,3,4,False
1631165,Kings,19:49,2,3,0,1,0,0,1,1,2,1,2,1,2,False
1642269,Kings,10:49,1,2,1,2,0,0,1,2,2,0,0,2,2,False
1631342,Kings,7:04,0,2,1,1,0,0,0,2,1,0,0,0,0,False
1641815,Kings,3:31,0,0,0,0,2,2,0,0,1,1,0,0,0,False
1629234,Kings,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
203926,Kings,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
203967,Kings,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1628384,Knicks,30:50,4,8,6,8,0,0,1,5,3,0,1,3,3,True
1628404,Knicks,29:46,1,4,8,13,1,2,2,4,5,2,1,2,4,True
1626157,Knicks,29:28,1,3,4,9,3,4,6,14,3,0,1,0,1,True
1628969,Knicks,32:37,1,3,2,7,3,3,0,2,5,3,0,1,2,True
1628973,Knicks,34:06,5,12,3,8,5,5,0,1,3,2,0,1,1,True
1629013,Knicks,18:42,1,4,0,2,0,0,1,0,2,0,0,0,1,True
1629011,Knicks,17:04,0,0,1,1,0,0,4,3,2,0,0,1,3,True
