personId,teamName,minutes,threePointersMade,threePointersAttempted,twoPointersMade,twoPointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,assists,steals,blocks,turnovers,foulsPersonal,IS_WINNER
1642281,Cavaliers,29:23,3,7,5,8,1,1,2,4,6,1,0,1,2,True
1629731,Cavaliers,17:56,2,3,2,2,1,2,0,5,2,1,0,0,1,True
1628386,Cavaliers,24:04,0,0,8,11,1,2,2,7,2,1,0,2,1,True
1630241,Cavaliers,23:55,1,3,0,1,1,2,1,0,4,0,1,1,0,True
1628378,Cavaliers,28:40,3,9,6,12,4,4,2,3,5,1,0,0,4,True
1641854,Cavaliers,15:18,1,3,2,2,0,0,1,0,3,2,0,0,1,True
1629631,Cavaliers,21:01,3,8,4,7,2,2,1,2,1,1,0,0,0,True
1641772,Cavaliers,28:32,0,2,4,4,0,0,3,1,3,2,1,1,2,True
1626204,Cavaliers,12:02,0,2,0,1,0,0,1,2,0,1,0,1,1,True
1642878,Cavaliers,10:40,2,2,1,3,0,0,0,0,3,1,0,0,2,True
1628418,Cavaliers,16:29,2,5,2,2,0,0,1,3,1,1,0,0,0,True
1628366,Cavaliers,12:00,0,0,0,0,0,0,0,5,2,0,0,2,1,True
2544,Lakers,27:08,0,3,3,7,5,6,1,2,5,1,0,6,3,False
1631222,Lakers,26:36,0,5,2,3,2,2,0,0,3,2,1,2,3,False
1629028,Lakers,19:26,0,0,4,4,2,2,2,2,2,0,1,1,3,False
203935,Lakers,23:48,0,1,1,3,0,0,0,3,0,1,0,1,2,False
1629029,Lakers,29:46,3,8,9,12,2,6,0,5,6,0,0,2,1,False
1629060,Lakers,17:36,0,2,0,5,0,0,0,2,0,0,1,1,0,False
1629216,Lakers,24:31,3,5,1,1,0,0,0,3,1,0,0,2,1,False
1629637,Lakers,18:11,0,0,3,4,1,2,1,4,1,0,0,0,2,False
1629020,Lakers,15:49,0,2,2,5,0,0,2,4,2,1,0,0,1,False
1631166,Lakers,12:00,0,2,3,3,0,0,2,0,0,0,0,1,0,False
1628467,Lakers,8:23,0,0,0,0,0,0,0,0,0,1,0,0,0,False
1642261,Lakers,8:23,1,2,1,1,0,0,0,1,0,0,0,0,0,False
1642355,Lakers,8:23,2,2,1,1,0,0,0,2,1,1,0,0,0,False
1642277,Pacers,21:51,0,1,0,3,2,2,1,6,2,1,1,0,1,True
1641716,Pacers,21:32,2,3,4,5,2,2,0,0,0,0,0,0,0,True
1627783,Pacers,36:08,1,5,5,11,7,8,1,2,5,0,0,2,3,True
1630174,Pacers,33:58,3,5,2,4,1,1,0,4,4,1,1,0,2,True
1629614,Pacers,33:42,2,7,4,7,4,4,0,6,9,1,0,1,2,True
1630643,Pacers,23:27,1,5,3,5,1,2,2,5,1,3,1,1,0,True
1631097,Pacers,28:21,3,5,1,5,4,4,1,7,1,0,0,2,4,True
204456,Pacers,15:48,0,0,4,7,0,0,1,3,6,1,0,0,2,True
1641767,Pacers,5:45,1,1,0,1,0,0,0,1,1,0,0,0,1,True
1630543,Pacers,2:33,0,0,0,0,0,0,0,0,0,0,0,0,2,True
1630695,Pacers,16:55,2,4,0,1,1,2,0,3,1,0,0,0,1,True
1628396,Pacers,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1631245,Pacers,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1642880,Pacers,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1630679,Pacers,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1630171,Bulls,22:50,1,3,1,3,0,0,0,2,0,0,0,0,3,False
1641824,Bulls,31:31,4,6,3,5,2,2,2,6,0,0,1,1,1,False
202696,Bulls,29:30,3,4,7,13,2,2,1,8,4,1,2,3,3,False
1629632,Bulls,31:34,1,5,4,10,3,4,0,2,4,0,0,0,3,False
1630581,Bulls,28:35,0,3,3,5,4,4,2,2,7,1,0,3,2,False
1630188,Bulls,27:40,3,4,2,5,0,1,1,10,3,1,0,2,3,False
1628989,Bulls,17:24,0,0,2,5,0,1,1,3,4,0,0,0,2,False
1630245,Bulls,28:30,0,3,8,12,3,4,1,3,4,0,0,1,2,False
1631207,Bulls,3:26,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1630172,Bulls,17:07,0,2,0,0,0,0,1,2,1,0,0,1,3,False
1641763,Bulls,1:53,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1628975,Bulls,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1642950,Bulls,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1627759,Celtics,29:12,0,5,9,15,3,4,0,7,3,0,1,3,2,False
1630573,Celtics,25:26,2,6,3,3,0,0,2,5,1,0,1,0,1,False
1642873,Celtics,15:11,0,0,1,3,0,0,0,6,2,0,1,2,1,False
1630202,Celtics,27:54,0,3,5,8,2,2,0,4,0,0,0,0,1,False
1628401,Celtics,30:53,1,5,4,8,0,0,0,4,3,1,1,2,0,False
1630568,Celtics,23:52,0,2,5,8,1,1,5,1,6,0,0,4,1,False
1629014,Celtics,18:45,2,4,3,3,0,0,1,0,1,1,0,2,1,False
1642864,Celtics,26:37,3,4,0,0,1,2,1,4,0,0,1,1,2,False
1631248,Celtics,16:37,0,3,1,2,4,5,1,2,4,0,0,0,0,False
1641775,Celtics,20:54,0,0,1,4,2,2,5,2,1,1,1,1,4,False
1631169,Celtics,4:39,1,2,1,1,0,0,0,1,0,0,0,1,0,False
1628449,Celtics,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1630214,Celtics,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1630557,Hawks,20:11,3,5,2,4,0,0,0,2,1,0,0,0,0,True
1630552,Hawks,32:44,3,5,3,11,4,6,2,12,7,0,0,3,5,True
1630168,Hawks,28:44,2,6,4,6,3,4,2,4,3,2,1,2,2,True
1630700,Hawks,35:23,1,1,6,10,0,0,2,4,9,5,1,1,2,True
1629638,Hawks,30:54,5,12,2,3,2,2,0,1,3,3,0,2,2,True
1631132,Hawks,12:33,0,0,0,1,0,0,1,1,1,0,0,0,3,True
203468,Hawks,29:24,1,5,5,9,0,0,1,2,3,1,0,1,2,True
1628379,Hawks,23:59,1,3,3,4,0,1,0,0,0,0,0,0,1,True
1631243,Hawks,18:34,1,2,1,1,0,0,2,2,2,0,0,0,2,True
1630249,Hawks,6:11,1,2,1,1,0,0,0,0,0,0,0,0,0,True
1630811,Hawks,1:23,0,1,0,1,0,0,0,0,0,0,0,0,0,True
1642258,Hawks,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
