personId,teamName,minutes,threePointersMade,threePointersAttempted,twoPointersMade,twoPointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,assists,steals,blocks,turnovers,foulsPersonal,IS_WINNER
1627759,Celtics,29:29,4,6,8,14,2,3,1,12,2,1,0,4,1,True
1630573,Celtics,27:18,1,7,0,2,0,0,0,1,1,0,0,0,2,True
1629674,Celtics,30:45,0,0,7,10,0,0,3,5,4,0,1,2,4,True
1630202,Celtics,26:39,1,4,1,4,2,2,0,3,5,0,0,0,1,True
1628401,Celtics,32:13,3,7,3,7,2,2,3,4,8,1,0,1,2,True
1642864,Celtics,17:19,0,3,0,0,0,0,0,5,0,2,0,1,1,True
1629014,Celtics,24:46,6,10,4,8,1,1,2,1,1,0,0,0,2,True
1630568,Celtics,13:02,0,1,1,1,1,2,1,1,0,0,0,0,0,True
1631248,Celtics,13:15,0,1,0,1,0,0,1,3,0,0,0,0,0,True
1641775,Celtics,19:49,0,3,2,3,2,3,5,0,3,0,1,1,3,True
1642873,Celtics,4:05,0,0,0,0,0,0,1,0,0,0,0,0,0,True
1631169,Celtics,1:20,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1628449,Celtics,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1630214,Celtics,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1628398,Bucks,34:12,2,4,3,9,4,6,1,4,2,1,0,1,1,False
1626171,Bucks,37:08,0,2,4,11,0,0,3,9,3,1,0,3,2,False
1626167,Bucks,26:22,1,4,1,4,2,2,1,3,1,2,0,2,2,False
1631260,Bucks,29:15,1,5,0,0,0,0,0,2,1,0,0,0,1,False
1631157,Bucks,36:10,3,4,7,12,2,4,2,4,7,1,0,3,2,False
1631250,Bucks,18:08,1,3,2,3,0,0,1,3,0,0,0,1,4,False
1629018,Bucks,25:10,2,7,0,1,3,3,0,1,0,0,0,0,2,False
1629599,Bucks,3:33,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1630175,Bucks,14:51,0,2,1,5,0,0,2,0,3,0,0,0,2,False
1641748,Bucks,8:16,0,3,0,2,0,0,1,1,0,0,0,0,1,False
1630579,Bucks,4:23,0,0,1,1,0,0,0,0,0,0,0,0,0,False
203648,Bucks,2:32,0,0,0,0,0,0,1,1,0,0,0,0,0,False
1641709,Pistons,24:57,1,1,3,4,0,0,2,6,3,3,2,0,1,True
202699,Pistons,19:45,1,2,1,2,6,6,0,2,3,1,0,0,0,True
1631105,Pistons,24:09,0,0,8,12,5,6,2,8,3,2,0,0,2,True
1629130,Pistons,21:49,2,5,1,3,0,0,0,3,1,1,0,0,0,True
1630595,Pistons,26:08,1,4,6,7,3,7,1,3,12,4,3,2,3,True
1630191,Pistons,20:58,0,1,3,5,3,4,0,1,1,0,1,1,4,True
1631093,Pistons,20:34,2,6,1,3,0,0,0,2,1,1,0,0,2,True
1641842,Pistons,19:51,0,5,3,4,0,0,0,2,2,2,0,2,5,True
1642450,Pistons,19:37,1,2,5,7,5,6,0,4,1,0,0,0,2,True
1629750,Pistons,18:59,2,2,1,1,0,0,0,3,1,0,0,1,1,True
1631204,Pistons,14:48,2,4,2,2,0,0,0,0,4,3,0,0,1,True
1630194,Pistons,8:24,0,0,2,3,0,0,0,4,1,0,0,0,0,True
1629611,Nets,20:27,0,1,2,2,0,0,0,2,1,0,0,1,2,False
1642874,Nets,28:38,0,5,2,4,2,2,2,8,4,0,1,4,3,False
1629651,Nets,17:24,0,0,5,9,0,0,2,0,1,1,0,1,2,False
1642856,Nets,14:34,0,4,0,0,3,3,0,0,1,0,0,1,0,False
1642849,Nets,17:11,1,3,1,4,0,0,0,1,2,0,1,4,3,False
1630549,Nets,22:12,0,0,2,5,4,6,3,8,0,0,0,5,1,False
1642962,Nets,32:09,1,3,2,4,5,5,1,2,1,0,0,0,1,False
1630560,Nets,23:05,3,6,1,4,1,1,1,2,3,0,0,4,1,False
1642879,Nets,18:49,0,2,0,3,4,6,0,1,4,2,0,0,1,False
1630592,Nets,27:26,1,3,1,5,3,4,1,6,0,0,0,2,5,False
1630604,Nets,9:41,1,2,1,2,0,0,0,2,0,0,0,0,0,False
1631213,Nets,8:24,0,2,0,0,0,0,0,1,0,0,0,1,0,False
1631323,Heat,18:24,0,2,1,3,0,0,3,4,4,0,0,1,3,True
203952,Heat,24:29,1,4,4,8,3,3,1,2,4,1,3,0,2,True
1628389,Heat,22:15,2,3,6,8,2,4,2,7,3,1,0,0,0,True
1641796,Heat,23:39,3,4,5,7,1,2,2,2,4,1,1,2,2,True
1630558,Heat,20:58,3,5,2,4,0,0,0,2,6,2,0,1,2,True
1631170,Heat,19:15,1,3,5,12,1,1,0,5,1,0,0,0,1,True
1630696,Heat,21:14,1,4,2,3,3,4,1,3,6,3,0,0,1,True
1642857,Heat,19:27,0,2,2,3,0,1,0,1,9,0,0,1,5,True
1642276,Heat,18:24,1,5,7,10,0,0,2,4,1,0,0,1,0,True
1642066,Heat,22:32,1,3,1,4,0,0,1,6,2,0,0,0,4,True
