personId,teamName,minutes,threePointersMade,threePointersAttempted,twoPointersMade,twoPointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,assists,steals,blocks,turnovers,foulsPersonal,IS_WINNER
1642851,Hornets,35:35,4,12,0,1,5,6,2,7,2,0,0,4,1,True
1628970,Hornets,30:35,0,4,3,7,3,4,0,4,1,0,0,2,4,True
1631217,Hornets,28:17,0,0,1,2,0,0,2,7,2,0,0,0,1,True
1641706,Hornets,36:42,2,12,5,9,0,0,2,6,4,1,0,2,3,True
1630163,Hornets,29:58,3,14,5,6,5,5,0,8,5,2,0,2,2,True
1642883,Hornets,19:06,0,1,1,1,1,2,1,4,0,0,0,1,2,True
1630182,Hornets,10:19,0,0,0,0,0,0,0,0,0,0,0,1,1,True
1641750,Hornets,17:51,0,0,3,5,4,6,3,4,1,0,3,2,3,True
1629012,Hornets,12:04,1,3,1,1,0,0,0,0,0,0,0,1,0,True
1629684,Hornets,19:33,2,4,3,3,4,4,3,6,1,0,0,1,2,True
1626192,Hornets,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1630544,Hornets,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1630180,Pelicans,34:57,1,6,1,6,3,4,0,3,5,1,0,0,1,False
1629627,Pelicans,30:51,0,0,5,13,4,9,3,8,4,0,0,1,4,False
1642852,Pelicans,30:59,1,2,4,7,5,6,0,8,3,3,1,2,4,False
1630530,Pelicans,37:20,3,8,7,12,4,4,0,1,4,1,0,2,1,False
1630529,Pelicans,36:09,4,7,0,2,0,0,1,6,2,1,1,0,4,False
1631255,Pelicans,13:47,0,3,1,2,0,0,0,1,2,1,1,0,1,False
1642847,Pelicans,15:18,1,2,2,5,2,2,1,1,0,2,1,1,2,False
1630631,Pelicans,30:01,1,6,0,1,0,0,0,0,3,0,0,0,3,False
1642274,Pelicans,10:38,0,0,2,2,0,0,0,1,0,0,0,1,3,False
1641722,Pelicans,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
201599,Pelicans,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1626172,Pelicans,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1642877,Pelicans,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1629673,Pelicans,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1642277,Pacers,13:51,0,0,1,1,0,1,0,4,1,0,0,0,3,False
1627783,Pacers,33:22,2,3,10,18,1,1,2,2,5,1,0,3,3,False
1630643,Pacers,11:43,2,6,0,1,0,0,0,3,1,0,2,0,5,False
1630174,Pacers,32:32,3,7,3,6,2,3,2,4,2,0,1,1,1,False
1629614,Pacers,32:09,1,2,1,3,2,3,0,1,8,1,1,3,1,False
1630543,Pacers,24:51,0,0,2,5,2,3,2,4,4,4,2,2,5,False
1631097,Pacers,34:21,0,2,8,13,9,10,1,3,5,0,0,0,2,False
1641716,Pacers,22:35,2,4,3,5,0,0,0,4,1,1,0,0,2,False
204456,Pacers,15:51,1,1,1,6,0,0,0,0,2,1,0,0,2,False
1641767,Pacers,7:19,0,0,1,1,0,0,0,0,2,0,0,0,0,False
1630695,Pacers,11:26,1,1,1,2,0,0,0,1,2,2,0,1,3,False
1642880,Pacers,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1631106,Rockets,33:30,1,2,2,5,2,2,1,9,0,0,1,0,2,True
1631095,Rockets,35:19,3,6,3,6,4,4,2,2,1,1,1,2,2,True
1630578,Rockets,35:20,0,2,13,23,13,18,7,9,5,0,0,5,2,True
1642263,Rockets,25:13,1,7,3,6,2,2,0,2,5,2,1,2,2,True
1641708,Rockets,39:08,0,0,6,15,4,5,4,7,7,2,2,5,4,True
1627827,Rockets,16:50,0,1,1,1,2,2,0,3,0,1,0,0,2,True
1629006,Rockets,12:26,0,0,0,0,0,0,0,0,0,0,0,0,0,True
203991,Rockets,10:51,0,0,1,5,2,2,4,3,3,0,1,1,0,True
1628988,Rockets,17:18,2,4,0,0,2,2,0,0,0,1,0,0,2,True
1630256,Rockets,14:05,0,0,4,4,0,0,1,2,0,0,0,0,1,True
1642384,Rockets,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
201145,Rockets,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1642377,Grizzlies,25:42,4,5,2,4,2,2,0,1,2,1,0,1,5,True
1628991,Grizzlies,30:58,3,6,5,11,11,11,1,5,2,0,1,1,3,True
1629111,Grizzlies,28:19,0,3,2,4,0,0,3,3,2,0,0,0,2,True
1642907,Grizzlies,27:42,1,4,4,6,3,4,0,4,1,0,0,1,2,True
1629660,Grizzlies,20:25,2,5,4,5,5,6,2,4,8,1,0,3,2,True
203484,Grizzlies,19:03,0,1,2,5,0,0,0,3,3,0,0,1,3,True
1641713,Grizzlies,21:14,1,4,5,6,0,1,3,5,1,0,1,1,0,True
1642285,Grizzlies,25:04,3,5,1,4,5,5,0,4,5,0,0,1,1,True
1631246,Grizzlies,22:30,4,6,0,1,4,6,0,1,5,2,0,0,3,True
1641765,Grizzlies,19:03,1,2,0,1,0,0,3,3,2,1,0,0,1,True
1629723,Grizzlies,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1630590,Grizzlies,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1630183,Timberwolves,36:50,5,7,6,7,2,2,3,1,3,0,0,0,4,False
203944,Timberwolves,40:15,1,6,4,8,8,8,1,7,8,0,1,3,5,False
203497,Timberwolves,25:09,0,0,3,5,1,2,3,7,0,0,2,1,3,False
1630162,Timberwolves,39:41,3,9,10,18,10,14,1,6,3,1,0,2,2,False
1628978,Timberwolves,33:40,5,7,2,2,2,4,2,1,4,2,0,1,2,False
1629675,Timberwolves,25:49,1,6,3,6,1,1,3,3,1,1,4,2,3,False
201144,Timberwolves,14:21,0,2,0,1,0,0,0,1,2,0,0,0,1,False
1641740,Timberwolves,7:42,0,1,0,1,0,0,0,0,0,0,0,0,3,False
1630538,Timberwolves,16:33,1,3,0,1,0,0,0,1,3,0,0,0,2,False
1642866,Timberwolves,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1642265,Timberwolves,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
204060,Timberwolves,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1630548,Timberwolves,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1631159,Timberwolves,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
202695,Clippers,30:52,2,5,10,16,3,5,2,2,6,3,0,2,0,False
1628381,Clippers,31:57,2,5,4,6,1,4,1,6,2,0,0,2,4,False
1627826,Clippers,33:00,0,0,3,3,2,3,0,9,2,0,1,1,3,False
1642920,Clippers,34:10,2,3,5,7,1,2,1,2,3,0,0,1,0,False
1627739,Clippers,27:10,0,2,2,4,2,2,0,2,6,0,0,2,3,False
201572,Clippers,20:15,3,6,2,5,0,0,0,1,1,0,1,1,5,False
1641757,Clippers,27:44,0,1,9,9,3,4,0,4,2,1,0,3,0,False
201587,Clippers,14:29,0,2,0,0,0,0,0,2,2,0,0,1,0,False
1642353,Clippers,10:13,0,1,1,1,0,0,0,0,0,0,0,0,1,False
1642949,Clippers,5:46,0,0,1,1,0,0,1,2,0,0,0,1,3,False
1641738,Clippers,4:24,0,1,0,0,0,0,0,1,0,0,0,0,0,False
203992,Clippers,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1626162,76ers,34:43,3,6,3,7,0,0,1,2,2,1,0,1,3,True
1631230,76ers,35:26,1,1,9,15,5,5,10,6,2,2,1,0,3,True
203954,76ers,32:14,1,2,7,17,7,7,0,5,3,1,0,1,4,True
1642845,76ers,30:31,1,8,0,3,2,2,0,3,7,1,0,0,1,True
1630178,76ers,35:52,7,14,2,4,4,4,0,5,6,3,0,1,4,True
1629656,76ers,27:50,2,5,3,3,2,2,0,2,4,0,0,0,2,True
1641737,76ers,15:46,0,0,3,4,0,0,3,0,1,0,2,0,3,True
1642272,76ers,14:16,2,2,0,0,0,0,0,2,4,0,0,2,1,True
1630570,76ers,11:03,0,1,1,1,1,2,0,1,1,0,0,0,1,True
1631133,76ers,2:19,0,0,0,1,0,0,0,1,1,0,0,0,0,True
203083,76ers,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1642348,76ers,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
202331,76ers,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
201569,76ers,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
200768,76ers,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
