personId,teamName,minutes,threePointersMade,threePointersAttempted,twoPointersMade,twoPointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,assists,steals,blocks,turnovers,foulsPersonal,IS_WINNER
1627759,Celtics,36:31,1,3,5,12,12,13,1,7,7,0,0,4,0,True
1630573,Celtics,31:34,5,7,2,3,0,0,1,4,2,1,0,1,1,True
1629674,Celtics,27:11,0,0,4,6,2,2,3,3,0,2,0,0,2,True
1630202,Celtics,29:40,3,5,9,14,0,0,0,5,8,0,1,1,0,True
1628401,Celtics,37:58,2,7,5,7,2,2,0,3,5,0,2,1,0,True
1642864,Celtics,18:32,0,1,2,2,1,2,1,3,0,0,1,0,2,True
1630568,Celtics,20:42,0,0,3,8,0,0,3,4,1,0,1,0,5,True
1641775,Celtics,11:33,0,1,0,0,0,0,0,0,0,0,0,0,0,True
1629014,Celtics,26:19,3,4,3,7,0,0,0,2,5,0,0,0,2,True
1628449,Celtics,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1631169,Celtics,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1631248,Celtics,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1630214,Celtics,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1642266,Raptors,31:26,5,9,2,3,0,0,1,5,1,1,1,0,3,False
1630572,Raptors,24:55,0,2,7,8,1,1,3,5,1,0,1,0,1,False
1642867,Raptors,21:07,0,2,3,5,1,1,1,1,1,3,0,0,4,False
1629628,Raptors,27:53,3,5,3,10,4,4,2,2,7,0,0,1,0,False
1630193,Raptors,34:48,4,10,2,6,1,2,0,2,13,1,1,2,2,False
1642367,Raptors,19:22,0,0,3,3,0,0,0,3,3,0,0,1,0,False
1641711,Raptors,23:37,1,4,3,4,0,0,1,0,1,1,1,0,5,False
1642347,Raptors,24:02,3,6,1,2,2,2,0,1,8,0,1,1,3,False
1642419,Raptors,11:37,0,1,1,1,0,0,0,2,1,1,0,0,0,False
1642918,Raptors,15:23,1,5,2,2,0,0,0,1,3,0,1,1,0,False
1630639,Raptors,5:50,1,3,0,1,0,0,1,0,0,0,0,0,0,False
1630534,Raptors,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
202066,Raptors,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1642869,Magic,29:56,0,2,2,3,1,1,3,4,1,1,2,2,3,False
1631094,Magic,37:24,0,3,6,15,2,2,1,10,7,0,1,4,1,False
1628976,Magic,28:53,1,6,5,7,0,0,1,7,2,0,3,4,5,False
1630217,Magic,37:47,0,3,9,16,5,5,3,2,5,0,0,2,3,False
1641710,Magic,37:20,3,7,4,5,4,4,0,3,4,0,0,4,1,False
1642859,Magic,18:33,0,0,4,6,1,4,0,3,0,0,1,0,0,False
1629048,Magic,11:52,0,1,1,2,0,0,2,1,0,1,2,0,2,False
1641724,Magic,8:36,0,3,0,3,0,0,0,0,0,0,0,1,1,False
1626145,Magic,17:02,0,2,0,1,0,0,0,0,0,3,0,0,1,False
1631288,Magic,5:23,0,2,0,0,0,0,1,0,1,0,0,1,0,False
1628371,Magic,7:15,0,0,1,1,2,2,0,1,1,0,1,0,1,False
1641783,Magic,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
202331,76ers,33:14,0,7,8,14,2,2,5,4,3,3,2,3,3,True
1631230,76ers,24:19,0,1,5,8,1,2,4,5,0,0,0,0,3,True
203954,76ers,31:23,0,3,7,14,8,9,3,6,3,1,1,4,2,True
1642845,76ers,39:32,0,3,3,5,0,0,2,7,7,2,0,1,3,True
1630178,76ers,37:52,3,8,7,14,6,6,0,1,1,3,0,1,0,True
203083,76ers,16:37,0,0,3,7,1,2,4,2,0,1,1,0,3,True
1629656,76ers,28:34,1,4,1,1,1,1,1,0,3,1,1,1,2,True
1626162,76ers,14:33,0,2,0,3,0,0,1,5,0,0,1,1,2,True
1642272,76ers,4:32,0,0,1,1,0,0,0,1,1,0,0,1,1,True
1631133,76ers,9:24,0,0,0,0,2,2,1,0,2,1,0,0,1,True
1641737,76ers,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
201569,76ers,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
