player_id,full_name,team_name,team_abbr,position,salary
1642917,Max Shulga,Celtics,BOS,Guard,0
1627783,Pascal Siakam,Pacers,IND,Forward,45550512
1629014,Anfernee Simons,Celtics,BOS,Guard,27678571
1642354,KJ Simpson,Hornets,CHA,Guard,0
1630579,Jericho Sims,Bucks,MIL,Center,2461463
1642914,Javon Small,Grizzlies,MEM,Guard,0
203935,Marcus Smart,Lakers,LAL,Guard,5134000
1630696,Dru Smith,Heat,MIA,Guard,2378870
1630188,Jalen Smith,Bulls,CHI,Forward-Center,9000000
1642449,Tolu Smith,Pistons,DET,Forward,0
1631095,Jabari Smith Jr.,Rockets,HOU,Forward,12350392
1641733,Nick Smith Jr.,Lakers,LAL,Guard,2710680
1631110,Jeremy Sochan,Spurs,SAS,Forward,7096231
1642850,Thomas Sorber,Thunder,OKC,Center,4655040
1642285,Cam Spencer,Grizzlies,MEM,Guard,2537989
1630311,Pat Spencer,Warriors,GSW,Guard,0
1641815,Isaiah Stevens,Kings,SAC,Guard,0
1630191,Isaiah Stewart,Pistons,DET,Forward-Center,15000000
1631124,Julian Strawther,Nuggets,DEN,Guard,2674200
1629622,Max Strus,Cavaliers,CLE,Guard-Forward,15936452
1630591,Jalen Suggs,Magic,ORL,Guard,35000000
1630256,Jae'Sean Tate,Rockets,HOU,Forward,2296274
1628369,Jayson Tatum,Celtics,BOS,Forward-Guard,54126450
202066,Garrett Temple,Raptors,TOR,Guard-Forward,2296274
1631207,Dalen Terry,Bulls,CHI,Forward,5399118
1642876,Adou Thiero,Lakers,LAL,Guard,1272870
1630560,Cam Thomas,Nets,BKN,Guard,5993172
1641708,Amen Thompson,Rockets,HOU,Guard-Forward,9690600
1641709,Ausar Thompson,Pistons,DET,Guard-Forward,8775000
1630679,Ethan Thompson,Pacers,IND,Guard,0
202691,Klay Thompson,Mavericks,DAL,Guard,16666667
1629680,Matisse Thybulle,Trail Blazers,POR,Guard-Forward,11550000
1630214,Xavier Tillman,Celtics,BOS,Forward,2546675
1631166,Drew Timme,Lakers,LAL,Guard,1955377
1641772,Nae'Qwan Tomlin,Cavaliers,CLE,Forward,0
1642910,John Tonje,Jazz,UTA,Guard,0
1642260,Nikola Topić,Thunder,OKC,Guard,5182920
1630167,Obi Toppin,Pacers,IND,Forward,14000000
1626157,Karl-Anthony Towns,Knicks,NYK,Center-Forward,53142264
1642849,Nolan Traore,Nets,BKN,Guard,3811560
1631247,Luke Travers,Cavaliers,CLE,Forward,0
1629018,Gary Trent Jr.,Bucks,MIL,Guard,3697105
1631131,Oscar Tshiebwe,Jazz,UTA,Forward-Center,0
1626167,Myles Turner,Bucks,MIL,Center-Forward,25318251
1641816,Hunter Tyson,Nuggets,DEN,Forward,2221677
1642281,Jaylon Tyson,Cavaliers,CLE,Guard-Forward,3492480
1630649,Stanley Umude,Spurs,SAS,Guard,0
202685,Jonas Valančiūnas,Nuggets,DEN,Center,10395000
1627832,Fred VanVleet,Rockets,HOU,Guard,25000000
1629020,Jarred Vanderbilt,Lakers,LAL,Forward,11571429
1630170,Devin Vassell,Spurs,SAS,Guard-Forward,27000000
1629216,Gabe Vincent,Lakers,LAL,Guard,11500000
1641774,Tristan Vukcevic,Wizards,WAS,Forward,0
202696,Nikola Vučević,Bulls,CHI,Center,21481481
1629731,Dean Wade,Cavaliers,CLE,Forward-Center,6623456
1630532,Franz Wagner,Magic,ORL,Forward,38661750
1629021,Moritz Wagner,Magic,ORL,Forward-Center,5000000
1631133,Jabari Walker,76ers,PHI,Forward,0
1641716,Jarace Walker,Pacers,IND,Forward,6665520
1641717,Cason Wallace,Thunder,OKC,Guard,5820240
1630811,Keaton Wallace,Hawks,ATL,Guard,0
1641775,Jordan Walsh,Celtics,BOS,Guard,2221677
1642266,Ja'Kobe Walter,Raptors,TOR,Guard,3638160
1642276,Kel'el Ware,Heat,MIA,Center,4443360
1629023,P.J. Washington,Mavericks,DAL,Forward,14152174
1631102,TyTy Washington Jr.,Clippers,LAC,Guard,0
1630322,Lindy Waters III,Spurs,SAS,Forward,2296274
1630570,Trendon Watford,76ers,PHI,Guard-Forward,2461463
1642364,Jamir Watkins,Wizards,WAS,Forward,0
1631212,Peyton Watson,Nuggets,DEN,Guard,4356476
1642377,Jaylen Wells,Grizzlies,MEM,Forward,1955377
1641705,Victor Wembanyama,Spurs,SAS,Forward-Center,13376880
1631104,Blake Wesley,Trail Blazers,POR,Guard,2296274
201566,Russell Westbrook,Kings,SAC,Guard,2296274
1629632,Coby White,Bulls,CHI,Guard,12888889
1628401,Derrick White,Celtics,BOS,Guard,28100000
1641715,Cam Whitmore,Wizards,WAS,Forward,3539760
1630598,Aaron Wiggins,Thunder,OKC,Guard,10102803
203952,Andrew Wiggins,Heat,MIA,Forward,28223215
1642873,Amari Williams,Celtics,BOS,Forward-Center,0
1630314,Brandon Williams,Mavericks,DAL,Guard,2270735
1642262,Cody Williams,Jazz,UTA,Forward,5742480
1629684,Grant Williams,Hornets,CHA,Forward,13645500
1631114,Jalen Williams,Thunder,OKC,Guard-Forward,6580997
1631119,Jaylin Williams,Thunder,OKC,Forward,8450704
1629026,Kenrich Williams,Thunder,OKC,Guard-Forward,7163000
1631109,Mark Williams,Suns,PHX,Center,6276531
1630172,Patrick Williams,Bulls,CHI,Forward,18000000
1630533,Ziaire Williams,Nets,BKN,Forward,6250000
1629057,Robert Williams III,Trail Blazers,POR,Center-Forward,13285713
1631246,Vince Williams Jr.,Grizzlies,MEM,Guard,2301587
1629627,Zion Williamson,Pelicans,NOP,Forward,39446090
1630592,Jalen Wilson,Nets,BKN,Forward,2221677
1642874,Danny Wolf,Nets,BKN,Forward,2801280
1627824,Guerschon Yabusele,Knicks,NYK,Forward,5500000
1642905,Yang Hansen,Trail Blazers,POR,Center,4422360
1642443,Jahmir Young,Heat,MIA,Guard,0
1629027,Trae Young,Wizards,WAS,Guard,45999660
1642959,Chris Youngblood,Thunder,OKC,Guard,0
1642911,Rocco Zikarsky,Timberwolves,MIN,Center,0
1627826,Ivica Zubac,Clippers,LAC,Center,18102000
1641783,Tristan da Silva,Magic,ORL,Forward,3809520
1642365,Nikola Đurišić,Hawks,ATL,Guard,1272870
203967,Dario Šarić,Kings,SAC,Forward-Center,5426400
